Geography Type,Geography Name,Year, Population , Households ,Persons Per Household (PPH)
EDR,01 (Northwest),2022,"  85,198 ","  35,073 ",2.37
EDR,02 (Headwaters),2022,"  87,975 ","  34,713 ",2.46
EDR,03 (Arrowhead),2022,"  329,598 ","  140,670 ",2.25
EDR,04 (West Central),2022,"  241,633 ","  97,706 ",2.40
EDR,05 (North Central),2022,"  174,159 ","  71,684 ",2.39
EDR,06E (Southwest Central),2022,"  121,470 ","  48,073 ",2.48
EDR,06W (Upper MN Valley),2022,"  43,954 ","  18,411 ",2.32
EDR,07E (East Central),2022,"  175,945 ","  67,384 ",2.55
EDR,07W (Central),2022,"  455,182 ","  166,400 ",2.66
EDR,08 (Southwest),2022,"  118,008 ","  47,094 ",2.45
EDR,09 (South Central),2022,"  241,783 ","  95,883 ",2.41
EDR,10 (Southeast),2022,"  529,633 ","  208,164 ",2.46
EDR,11 (7 County Twin Cities),2022,"  3,197,231 ","  1,268,485 ",2.47
State,Minnesota,2022,"  5,801,769 ","  2,299,740 ",2.46
County,Aitkin,2022,"  16,614 ","  7,517 ",2.17
County,Anoka,2022,"  368,280 ","  136,706 ",2.67
County,Becker,2022,"  35,738 ","  14,521 ",2.43
County,Beltrami,2022,"  47,522 ","  18,120 ",2.51
County,Benton,2022,"  40,164 ","  16,214 ",2.43
County,Big Stone,2022,"  5,315 ","  2,263 ",2.25
County,Blue Earth,2022,"  71,053 ","  27,726 ",2.41
County,Brown,2022,"  25,756 ","  10,895 ",2.26
County,Carlton,2022,"  37,389 ","  14,122 ",2.49
County,Carver,2022,"  110,136 ","  40,373 ",2.70
County,Cass,2022,"  30,821 ","  13,040 ",2.34
County,Chippewa,2022,"  12,751 ","  5,149 ",2.40
County,Chisago,2022,"  59,055 ","  21,621 ",2.66
County,Clay,2022,"  67,814 ","  25,564 ",2.53
County,Clearwater,2022,"  8,721 ","  3,558 ",2.42
County,Cook,2022,"  5,629 ","  2,753 ",2.03
County,Cottonwood,2022,"  11,915 ","  4,756 ",2.43
County,Crow Wing,2022,"  69,276 ","  28,938 ",2.35
County,Dakota,2022,"  444,985 ","  171,512 ",2.57
County,Dodge,2022,"  21,342 ","  8,018 ",2.65
County,Douglas,2022,"  40,625 ","  17,064 ",2.33
County,Faribault,2022,"  13,681 ","  6,035 ",2.24
County,Fillmore,2022,"  21,605 ","  8,722 ",2.43
County,Freeborn,2022,"  30,904 ","  13,043 ",2.33
County,Goodhue,2022,"  48,910 ","  19,864 ",2.42
County,Grant,2022,"  6,173 ","  2,570 ",2.37
County,Hennepin,2022,"  1,293,651 ","  541,556 ",2.33
County,Houston,2022,"  19,253 ","  8,088 ",2.35
County,Hubbard,2022,"  22,431 ","  9,241 ",2.40
County,Isanti,2022,"  42,807 ","  16,251 ",2.61
County,Itasca,2022,"  45,584 ","  19,211 ",2.33
County,Jackson,2022,"  10,067 ","  4,304 ",2.31
County,Kanabec,2022,"  16,329 ","  6,684 ",2.40
County,Kandiyohi,2022,"  45,232 ","  17,398 ",2.54
County,Kittson,2022,"  4,300 ","  1,857 ",2.26
County,Koochiching,2022,"  12,163 ","  5,583 ",2.14
County,Lac qui Parle,2022,"  6,675 ","  2,938 ",2.23
County,Lake,2022,"  11,303 ","  4,952 ",2.24
County,Lake of the Woods,2022,"  3,901 ","  1,799 ",2.15
County,Le Sueur,2022,"  29,518 ","  11,555 ",2.53
County,Lincoln,2022,"  5,511 ","  2,413 ",2.23
County,Lyon,2022,"  25,379 ","  10,158 ",2.43
County,McLeod,2022,"  37,607 ","  15,169 ",2.44
County,Mahnomen,2022,"  5,400 ","  1,995 ",2.68
County,Marshall,2022,"  9,221 ","  3,842 ",2.38
County,Martin,2022,"  20,153 ","  8,687 ",2.29
County,Meeker,2022,"  23,910 ","  9,388 ",2.50
County,Mille Lacs,2022,"  27,483 ","  10,964 ",2.47
County,Morrison,2022,"  34,326 ","  13,804 ",2.45
County,Mower,2022,"  40,605 ","  15,840 ",2.52
County,Murray,2022,"  8,243 ","  3,569 ",2.29
County,Nicollet,2022,"  35,826 ","  13,003 ",2.51
County,Nobles,2022,"  22,473 ","  7,828 ",2.80
County,Norman,2022,"  6,527 ","  2,740 ",2.35
County,Olmsted,2022,"  168,055 ","  66,528 ",2.48
County,Otter Tail,2022,"  60,555 ","  25,314 ",2.34
County,Pennington,2022,"  14,266 ","  6,115 ",2.29
County,Pine,2022,"  30,271 ","  11,864 ",2.42
County,Pipestone,2022,"  9,219 ","  3,891 ",2.33
County,Polk,2022,"  31,192 ","  12,440 ",2.41
County,Pope,2022,"  11,654 ","  4,956 ",2.32
County,Ramsey,2022,"  551,195 ","  220,901 ",2.42
County,Red Lake,2022,"  3,998 ","  1,662 ",2.39
County,Redwood,2022,"  15,348 ","  6,280 ",2.40
County,Renville,2022,"  14,721 ","  6,118 ",2.36
County,Rice,2022,"  68,525 ","  23,794 ",2.58
County,Rock,2022,"  9,853 ","  3,895 ",2.47
County,Roseau,2022,"  15,694 ","  6,417 ",2.42
County,St. Louis,2022,"  200,916 ","  86,532 ",2.22
County,Scott,2022,"  154,395 ","  54,295 ",2.82
County,Sherburne,2022,"  102,275 ","  35,236 ",2.81
County,Sibley,2022,"  15,307 ","  6,108 ",2.46
County,Stearns,2022,"  162,016 ","  61,622 ",2.51
County,Steele,2022,"  38,775 ","  15,097 ",2.53
County,Stevens,2022,"  9,401 ","  3,634 ",2.40
County,Swift,2022,"  10,054 ","  4,111 ",2.36
County,Todd,2022,"  25,617 ","  10,028 ",2.52
County,Traverse,2022,"  3,346 ","  1,421 ",2.27
County,Wabasha,2022,"  21,895 ","  9,083 ",2.38
County,Wadena,2022,"  14,119 ","  5,874 ",2.34
County,Waseca,2022,"  19,236 ","  7,432 ",2.46
County,Washington,2022,"  274,589 ","  103,142 ",2.63
County,Watonwan,2022,"  11,253 ","  4,442 ",2.50
County,Wilkin,2022,"  6,327 ","  2,662 ",2.34
County,Winona,2022,"  49,764 ","  20,087 ",2.30
County,Wright,2022,"  150,727 ","  53,328 ",2.81
County,Yellow Medicine,2022,"  9,159 ","  3,950 ",2.29
State,Minnesota,2021,"  5,742,036 ","  2,275,868 ",  2.47 
